City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
AHMADNAGAR,27260114013,2015-16,SHRI SAMARTH ENG MEDIUM SCHOOL RAJUR,AKOLE,RAJUR,RAJUR,Maharashtra,422604,,,,ChIJNclQq2wL3TsRVsD1PhIqUdg,A,Street Address,rajur,Shri Samarth English Medium School,"Taluka - Rajur, District - Ahmednagar, Akole, Maharashtra 422604, India"
AHMADNAGAR,27260101102,2015-16,KALSUBAI HIGH SCHOOL BARI,AKOLE,SHENDI,BARI,Maharashtra,422604,,,,ChIJ_XLiem-d3TsRAXwd5HUuohI,A,VILLAGE_NAME,bari,Kalsubai Peak,"Bari, Taluk Akole, Ahmednagar, Maharashtra 414001, India"
AHMADNAGAR,27260114101,2015-16,Z.P.P.SCHOOL RUMBHODI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114102,2015-16,Z.P.P.SCHOOL DATTAWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114103,2015-16,Z.P.P.SCHOOL LAHOTEWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114104,2015-16,Z.P.P.SCHOOL MALUNJKARWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260101103,2015-16,Z.P.P.SCHOOL BAGALAWADI  (BARI),AKOLE,SHENDI,BARI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101201,2015-16,Z.P.P.SCHOOL MADAGEWADI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101202,2015-16,Z.P.P.SCHOOL BABHULWANDI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101203,2015-16,Z.P.P.SCHOOL MHASOBAWADI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260114105,2015-16,Z.P.P.SCHOOL SAVANTWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114106,2015-16,NEW ENGLISH MEDIUM SCHOOL RUMBHODI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,,,,ChIJr0Iq8nyx3DsRc-SAdE2ZMXA,C,City,ahmadnagar,Meher English School,"Arangaon, Ahmadnagar, SH-10, Ahmed Nagar Yeola Road, Ahmednagar, Ahmednagar, Maharashtra 413201, India"
AHMADNAGAR,27260114201,2015-16,Z.P.P.SCHOOL REDE,AKOLE,KUMBHEFAL,REDE,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114202,2015-16,Z.P.P.SCHOOL PARASURWADI,AKOLE,KUMBHEFAL,REDE,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260101204,2015-16,Z.P.P.SCHOOL MHASHALWADI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101205,2015-16,Z.P.P SCHOOL BANGARWADI  (BABHULWANDI),AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101301,2015-16,Z.P.P.SCHOOL BHANDARDARA,AKOLE,KATALAPUR,SHENDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101302,2015-16,Z.P.P.SCHOOL DARYACHIWADI,AKOLE,KATALAPUR,SHENDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260114203,2015-16,SAI PUBLIC SCHOOL MARKET YARD REDE,AKOLE,KUMBHEFAL,REDE,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260114301,2015-16,Z.P.P.SCHOOL SHENIT,AKOLE,MANHERE,SHENIT,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260108201,2015-16,Z.P.P.SCHOOL KELIOTUR,AKOLE,KELI OTUR,KELI OTUR,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116101,2015-16,Z.P.P.SCHOOL SHIDWAD,AKOLE,PIMPALGAON KHAND,SHIDWAD,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116201,2015-16,Z.P.P.SCHOOL SHINDE,AKOLE,VIHIR,SHINDE,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260101303,2015-16,Z.P.P.SCHOOL VIDUTNAGAR,AKOLE,SHENDI,SHENDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260101304,2015-16,ANUDANIT MADHAMIK  ASHRAM SHENDI,AKOLE,SHENDI,SHENDI,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260403201,2015-16,Z.P.P.SCHOOL NIMGAON DAKU,KARJAT,CHAPADGAON,NIMGAON DAKU,Maharashtra,414401,,,,,,,,,
AHMADNAGAR,27260403202,2015-16,Z.P.P.SCHOOL SHENDKARWADI,KARJAT,CHAPADGAON,NIMGAON DAKU,Maharashtra,414401,,,,,,,,,
AHMADNAGAR,27260116301,2015-16,Z.P.P.SCHOOL SOMALWADI,AKOLE,VIHIR,SOMALWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116302,2015-16,Z.P.P.SCHOOL GAMBHIRWADI,AKOLE,VIHIR,SOMALWADI,Maharashtra,422610,,,,,,,,,
