City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
GANGANAGAR,8010740504,2015-16,PVT ADRASH UP BAL VIDHYALAYA 2 IWM,RAISINGHNAGAR,GUPS 57 NP,2 IWM KHANCHYA,Rajasthan,335706,,,,,,,
GANGANAGAR,8010740502,2015-16,"GOVT.SEC.SCH., ",RAISINGHNAGAR,"GOVT.SEN.SEC.SCH, RAISINGHNAGAR",2 IWM KHANCHYA,Rajasthan,335051,,,,,,,
GANGANAGAR,8010740003,2015-16,PVT GYANDEEP SEC SCH SATJANDA,RAISINGHNAGAR,"GOVT.SEN.SEC.SCH, RAISINGHNAGAR",13 SAD SATJANDA,Rajasthan,335051,,,,,,,
CHURU,8040415104,2015-16,TEGORE PUBLIC CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 33,Rajasthan,331001,,,ChIJcwlr_e-DEzkRGOlP9_7ng7Y,Tagore Public School,B,Locality,churu
CHURU,8040415004,2015-16,GUPS SANSKRIT DABALA ROAD,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 32,Rajasthan,331001,,,,,,,
CHURU,8040415005,2015-16,GPS BALMIKI BASTI,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 32,Rajasthan,331001,,,,,,,
CHURU,8040415003,2015-16,NAVANKUR SHISHU SR SCHOOL AGUNA MOHALLA CHURU WARD NO 32,CHURU,"CHURU,GUPS,GOPAL",NP CHURU_WARD NO 32,Rajasthan,331001,,,ChIJ9TTYlwRiEzkRCL8Fv3H17oE,Navankur Sisu Acadamy Senior Secondary School Churu (Raj.),B,Pincode,331001
CHURU,8040415101,2015-16,"MERIGOLD WORLD UPS, CHURU",CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 33,Rajasthan,331001,,,,,,,
CHURU,8040414903,2015-16,MADARSA SIRAJUL ULUM WNO.27,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 31,Rajasthan,331001,,,,,,,
CHURU,8040415001,2015-16,NATIONAL GREEN ACADEMY UPS CHURU,CHURU,"CHURU,GUPS,GOPAL",NP CHURU_WARD NO 32,Rajasthan,331001,,,,,,,
CHURU,8040415102,2015-16,G SARVA HITKARINI GIRLS CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 33,Rajasthan,331001,,,,,,,
CHURU,8040415103,2015-16,GHANSHAYAM BAL MANDIR CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 33,Rajasthan,331001,,,,,,,
CHURU,8040518705,2015-16,GPS WARD NO 8 SUJANGARH,SUJANGARH,NP SUJANGARH NO.15,NP SUJANGARH_WARD NO 10,Rajasthan,331507,,,,,,,
CHURU,8040518702,2015-16,SHEKAWATI SIKSHAN SANSHTAN SUJANGARH,SUJANGARH,NP SUJANGARH NO.15,NP SUJANGARH_WARD NO 10,Rajasthan,331507,,,,,,,
CHURU,8040518703,2015-16,J.P ADARSH VIDYA MANDIR W.NO.10 SUJANGARH,SUJANGARH,NP SUJANGARH NO.15,NP SUJANGARH_WARD NO 10,Rajasthan,331507,,,ChIJN_i1_2QxazkRdJkwbG-SAnI,J.P. Adarsh Vidya Mandir,B,Locality,sujangarh
CHURU,8040518704,2015-16,GOOD SEFRAD SUJANGARH,SUJANGARH,NP SUJANGARH NO.15,NP SUJANGARH_WARD NO 10,Rajasthan,331507,,,,,,,
CHURU,8040414803,2015-16,GPS NO 6 CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 30,Rajasthan,331001,,,,,,,
CHURU,8040414901,2015-16,NAV PRERANA PUBLIC SCHOOL,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 31,Rajasthan,331001,,,,,,,
GANGANAGAR,8010674901,2015-16,"GOVT.PRIMARY SCH.,",GHARASANA,GUPS 12 KND ,6 KND,Rajasthan,335707,,,,,,,
HANUMANGARH,8020116503,2015-16,GUPS ,HANUMANGARH,GMS 28 NDR (ARIYAN WALI),28NDR,Rajasthan,335803,,,,,,,
GANGANAGAR,8010674001,2015-16,"GOVT.PRIMARY SCH.,",GHARASANA,GUPS 2/3 DD,1 JSM,Rajasthan,335711,,,,,,,
HANUMANGARH,8020116502,2015-16,SWAMI VIVEKANAND  UPS ,HANUMANGARH,GMS 28 NDR (ARIYAN WALI),28NDR,Rajasthan,335803,,,,,,,
