City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,j1_place_id,h_category,h_word
MAU,9620602401,2015-16,P S ,RANIPUR,PALIA,GOKULPURA,Uttar Pradesh,276502,,ChIJ8yVBO6LmkTkRf08W0izq1Is,,,
MAU,9620706301,2015-16,P S KHADUAN,BADRAW,BADRAOU,SARAI KHWAJEBADE,Uttar Pradesh,261131,,,,,
MAU,9620706302,2015-16,P S PARADIH,BADRAW,BADRAOU,SARAI KHWAJEBADE,Uttar Pradesh,261131,,,,,
SONBHADRA,9700600801,2015-16,P.S.,NAGWA,WAINI,SOHDAWAL,Uttar Pradesh,231213,,,,,
SONBHADRA,9700706201,2015-16,P.S.,BABHANI,KARKACHCHHI,NAWATOLA,Uttar Pradesh,231208,,,,,
SONBHADRA,9700706301,2015-16,P.S.,BABHANI,KARKACHCHHI,JOBEDAH,Uttar Pradesh,231208,,,,,
SONBHADRA,9700706401,2015-16,P.S.,BABHANI,KARKACHCHHI,DEVRIHAWA,Uttar Pradesh,231223,,,,,
SONBHADRA,9700706501,2015-16,P.S.,BABHANI,BARWATOLA,NAI BASTI BICHHIYARI,Uttar Pradesh,231223,,,,,
SHRAWASTI,9510606502,2015-16,U.P.S. SANTALYA,SIRSIYA,DURGAPUR,SANTALIYA,Uttar Pradesh,271831,,,,,
SHRAWASTI,9510606601,2015-16,P.S.,SIRSIYA,DURGAPUR,JOKHWA,Uttar Pradesh,271840,,,,,
SHRAWASTI,9510606602,2015-16,P.S.K.,SIRSIYA,DURGAPUR,JOKHWA,Uttar Pradesh,271840,,,,,
SHRAWASTI,9510108805,2015-16,U.P.S. ,GILAULA,NEVRIYA,CHICHRI,Uttar Pradesh,271835,,ChIJT7idxZe2mTkRrVKY-GJnsbk,,,
VARANASI,9670604901,2015-16,PS ,CHOLAPUR,SINGHPUR,TISAURA,Uttar Pradesh,221101,,,,,
VARANASI,9670605001,2015-16,PS ,CHOLAPUR,SINGHPUR,BENIPUR KALA,Uttar Pradesh,221101,,,,,
VARANASI,9670605101,2015-16,PS ,CHOLAPUR,SINGHPUR,KHARDAHA,Uttar Pradesh,221102,,,,,
VARANASI,9670605201,2015-16,PS ,CHOLAPUR,SINGHPUR,DAUDPUR,Uttar Pradesh,221101,,,,,
ALLAHABAD,9451509102,2015-16,P.S. KABIRUDDINPUR,DHANUPUR,DAM GARHA,KABIRUDDIN PUR,Uttar Pradesh,221503,,,,,
ALLAHABAD,9451105202,2015-16,UPS PURE GHEESA,SAIDABAD,SAIDA BAD,BAJAHA MISHRAN,Uttar Pradesh,221508,,,,,
ALLAHABAD,9451105203,2015-16,MAHADEV BALIKA VIDHALAYA,SAIDABAD,SAIDA BAD,BAJAHA MISHRAN,Uttar Pradesh,221508,,,,,
ALLAHABAD,9451105301,2015-16,PS SARAY MANSOOR,SAIDABAD,SAIDA BAD,SARAY MANSUR,Uttar Pradesh,221508,,,,,
VARANASI,9670204401,2015-16,PS BARA GAON (I),BARAGAON,BARA GAON,BARAGAON,Uttar Pradesh,221204,,,ChIJyV2aloLWjzkR9lEbQVUZiZs,A,baragaon
VARANASI,9670204501,2015-16,PS KHARAWAN,BARAGAON,KHARAWAN,KHARAVAN,Uttar Pradesh,221201,,,,,
VARANASI,9670204601,2015-16,PS SADHOGANJ,BARAGAON,KHARAWAN,KHARAWAN,Uttar Pradesh,221201,,,,,
VARANASI,9670204602,2015-16,UPS SRI  JAG NARAYAN TIW. VIDYALAY,BARAGAON,KHARAWAN,KHARAWAN,Uttar Pradesh,221201,,,,,
VARANASI,9670405502,2015-16,UPS ADARSH VIDYA MANDIR,SEWAPURI,LERUAIE,AMINI,Uttar Pradesh,221307,,,,,
VARANASI,9670405503,2015-16,PS ADARSH VIDYA MANDIR,SEWAPURI,LERUAIE,AMINI,Uttar Pradesh,221307,,,,,
VARANASI,9670405601,2015-16,PS ,SEWAPURI,NEWADA,KUTTOO PUR,Uttar Pradesh,221403,,,,,
VARANASI,9670405701,2015-16,PS ,SEWAPURI,BAREMA,RAMESEWAR,Uttar Pradesh,221405,,,,,
VARANASI,9670606701,2015-16,PS ,CHOLAPUR,RAJWARI,DHAKAVA,Uttar Pradesh,221116,,,,,
VARANASI,9670606702,2015-16,UPS ,CHOLAPUR,RAJWARI,DHAKAVA,Uttar Pradesh,221116,,,,,
VARANASI,9670708802,2015-16,UPS SRI RAM JANAKI SHIKSH. SANSTHAN,CHIRAIGAON,CHHITAUNI,AMAULEE,Uttar Pradesh,221104,,,,,
VARANASI,9670708901,2015-16,PS /K.K. DEVARIYA,CHIRAIGAON,CHHITAUNI,DHARADHAR.,Uttar Pradesh,221104,,,,,
VARANASI,9670709001,2015-16,PS ,CHIRAIGAON,CHHITAUNI,MISHRAPURA,Uttar Pradesh,221104,,,,,
VARANASI,9670909803,2015-16,PS+UPS PUSHPA JR. HIGH SCH.,NAGAR NIGAM,SIKRAUL,SIKARAUL--23,Uttar Pradesh,221007,,,,,
VARANASI,9670909804,2015-16,PS+UPS SHARADA SHISHU MANDIR R,NAGAR NIGAM,SIKRAUL,SIKARAUL--23,Uttar Pradesh,221001,,,,,
VARANASI,9670909805,2015-16,PS+UPS LITTLE LINES JR.H. S.HU,NAGAR NIGAM,SIKRAUL,SIKARAUL--23,Uttar Pradesh,221001,,,,,
VARANASI,9670909806,2015-16,SUNBEAM SCHOOL VARUNA VARANASI,NAGAR NIGAM,SIKRAUL,SIKARAUL--23,Uttar Pradesh,221002,ChIJef15MLYtjjkRAKIgXbdJ8PQ,ChIJef15MLYtjjkRAKIgXbdJ8PQ,,,
